genre_ids,id,title,original_language,original_title,popularity,release_date,vote_average,vote_count,release_date_status
"[878, 28, 12]",969681,Spider-Man: Brand New Day,en,Spider-Man: Brand New Day,839.8698,2026-07-29,7.861,2541,Available
"[35, 12, 10751]",1204680,Coyote vs. Acme,en,Coyote vs. Acme,643.9483,2026-08-20,7.663,264,Available
"[12, 28, 14]",1368337,The Odyssey,en,The Odyssey,437.8516,2026-07-15,8.0,3565,Available
"[28, 53]",1288445,Mutiny,en,Mutiny,394.5615,2026-08-19,6.359,334,Available
"[28, 27, 878]",1375646,Colony,ko,군체,315.0795,2026-05-21,8.113,729,Available
"[53, 28]",1386315,The Runner,en,The Runner,284.4272,2026-09-03,6.725,353,Available
"[10751, 14, 35, 12]",1108427,Moana,en,Moana,260.8674,2026-07-08,6.789,405,Available
"[28, 35]",1137844,Mayday,en,Mayday,237.6288,2026-09-03,7.955,346,Available
"[10770, 10751, 878, 28, 35]",1506560,Clash of the Thundermans,en,Clash of the Thundermans,219.5836,2026-09-03,6.843,35,Available
[10749],1285366,Shape of My Heart,ja,愛のぬくもり,215.0149,2024-07-06,5.2,5,Available
"[27, 35, 53]",1393326,Ghost in the Cell,id,Hantu Dalam Sel,207.1885,2026-04-16,7.2,47,Available
"[27, 53]",1339713,Obsession,en,Obsession,194.6239,2026-05-13,8.194,5392,Available
"[10749, 18]",1516698,The Last Sunrise,en,The Last Sunrise,172.2452,2026-08-26,6.65,141,Available
"[16, 10751, 35, 12]",1084244,Toy Story 5,en,Toy Story 5,163.306,2026-06-17,8.351,2053,Available
"[16, 28, 12, 878, 80, 18]",1560520,Batman: Knightfall Part 1: Knightfall,en,Batman: Knightfall Part 1: Knightfall,157.121,2026-06-23,9.167,260,Available
"[80, 28, 53]",1621552,Facing El Chapo,es,La captura,151.4053,2026-08-21,8.794,573,Available
"[28, 53]",1294189,The Mongoose,en,The Mongoose,145.7072,2026-10-30,0.0,0,Available
"[28, 53, 27, 80]",1514682,Above & Below,en,Above & Below,143.806,2026-07-29,6.2,25,Available
"[28, 878, 53]",1323244,Rage of Stars,en,Rage of Stars,143.0448,2026-08-06,5.9,79,Available
"[12, 16, 35, 10751, 14]",1315772,Minions & Monsters,en,Minions & Monsters,141.8469,2026-06-24,7.556,1061,Available
"[80, 18, 53]",860508,The Whisper Man,en,The Whisper Man,105.9362,2026-08-27,6.806,563,Available
"[28, 80, 18]",1213243,Toxic: A Fairy Tale for Grown-ups,kn,ಟಾಕ್ಸಿಕ್,92.898,2026-08-26,7.944,71,Available
"[27, 14, 9648]",1232569,Pinocchio: Unstrung,en,Pinocchio: Unstrung,110.3529,2026-07-22,6.6,92,Available
"[35, 18, 53]",1130948,Rosebush Pruning,en,Rosebush Pruning,100.4008,2026-04-23,6.134,41,Available
"[10749, 18, 53]",1440098,Drawn Together,es,Enfrentados: Marfil,101.7507,2026-09-09,6.9,16,Available
"[878, 53]",1275779,Disclosure Day,en,Disclosure Day,100.879,2026-06-10,7.47,3248,Available
[35],1273221,Scary Movie,en,Scary Movie,86.8042,2026-06-03,6.4,1836,Available
[27],1180894,Under Your Feet,es,Bajo tus pies,104.8019,2026-02-19,5.091,11,Available
"[878, 12]",687163,Project Hail Mary,en,Project Hail Mary,94.1923,2026-03-15,8.643,7628,Available
"[27, 9648, 878]",1083381,Backrooms,en,Backrooms,89.392,2026-05-27,7.054,3194,Available
[53],1101412,Fall 2: Deadpoint,en,Fall 2: Deadpoint,84.0359,2026-09-01,6.773,22,Available
"[28, 12, 878]",1228710,The Mandalorian and Grogu,en,The Mandalorian and Grogu,86.7439,2026-05-20,7.5,1543,Available
"[16, 12, 14]",980431,Avatar Aang: The Last Airbender,en,Avatar Aang: The Last Airbender,86.7503,2026-07-24,9.165,1083,Available
"[12, 18, 28]",1284465,The Death of Robin Hood,en,The Death of Robin Hood,77.0099,2026-06-18,6.227,291,Available
"[28, 12, 878]",634649,Spider-Man: No Way Home,en,Spider-Man: No Way Home,79.3565,2021-12-15,7.946,23053,Available
"[18, 80]",278,The Shawshank Redemption,en,The Shawshank Redemption,80.9203,1994-09-23,8.73,31281,Available
"[35, 53]",1599993,Animals,es,Animales,81.2725,2026-02-05,6.2,40,Available
"[878, 53]",755898,War of the Worlds,en,War of the Worlds,80.2974,2025-07-29,4.02,1125,Available
"[27, 53]",1127384,Deep Water,en,Deep Water,78.1894,2026-04-30,7.1,475,Available
"[28, 12, 878]",1081003,Supergirl,en,Supergirl,75.2528,2026-06-24,6.71,2201,Available
"[28, 18, 53]",1355228,Gandhari,hi,गांधारी,68.047,2026-09-03,5.063,8,Available
"[35, 10749]",1433367,One Night Only,en,One Night Only,89.2192,2026-07-28,6.82,86,Available
"[16, 28, 14]",1311031,Demon Slayer: Kimetsu no Yaiba Infinity Castle,ja,劇場版「鬼滅の刃」無限城編 第一章 猗窩座再来,66.6896,2025-07-18,8.784,2102,Available
